newTime,origin_stop,month,time,quantity,timeOfDay
2017-06-03,600018,2017-06,Weekday (3:00pm-6:59:59pm),531014,03
2017-06-04,600018,2017-06,Weekday (7:00pm-11:59:59pm),62587,04
2017-06-05,600018,2017-06,Weekend,47902,05
2017-07-01,600018,2017-07,Weekday (12:00am-8:29:59am),16915,01
2017-07-02,600018,2017-07,Weekday (8:30am-2:59:59pm),128537,02
2017-07-03,600018,2017-07,Weekday (3:00pm-6:59:59pm),521678,03
2017-07-04,600018,2017-07,Weekday (7:00pm-11:59:59pm),56233,04
2017-07-05,600018,2017-07,Weekend,53067,05
2017-08-01,600018,2017-08,Weekday (12:00am-8:29:59am),18727,01
2017-08-02,600018,2017-08,Weekday (8:30am-2:59:59pm),143435,02
2017-08-03,600018,2017-08,Weekday (3:00pm-6:59:59pm),553978,03
2017-08-04,600018,2017-08,Weekday (7:00pm-11:59:59pm),65370,04
2017-08-05,600018,2017-08,Weekend,51949,05
2017-09-01,600018,2017-09,Weekday (12:00am-8:29:59am),17130,01
2017-09-02,600018,2017-09,Weekday (8:30am-2:59:59pm),130501,02
2017-09-03,600018,2017-09,Weekday (3:00pm-6:59:59pm),500749,03
2017-09-04,600018,2017-09,Weekday (7:00pm-11:59:59pm),58910,04
2017-09-05,600018,2017-09,Weekend,61766,05
2017-10-01,600018,2017-10,Weekday (12:00am-8:29:59am),17810,01
2017-10-02,600018,2017-10,Weekday (8:30am-2:59:59pm),130701,02
2017-10-03,600018,2017-10,Weekday (3:00pm-6:59:59pm),531016,03
2017-10-04,600018,2017-10,Weekday (7:00pm-11:59:59pm),58144,04
2017-10-05,600018,2017-10,Weekend,40741,05
2017-11-01,600018,2017-11,Weekday (12:00am-8:29:59am),19412,01
2017-11-02,600018,2017-11,Weekday (8:30am-2:59:59pm),136582,02
2017-11-03,600018,2017-11,Weekday (3:00pm-6:59:59pm),548708,03
2017-11-04,600018,2017-11,Weekday (7:00pm-11:59:59pm),62852,04
2017-11-05,600018,2017-11,Weekend,37991,05
2017-12-01,600018,2017-12,Weekday (12:00am-8:29:59am),15243,01
2017-12-02,600018,2017-12,Weekday (8:30am-2:59:59pm),120721,02
2017-12-03,600018,2017-12,Weekday (3:00pm-6:59:59pm),380062,03
2017-12-04,600018,2017-12,Weekday (7:00pm-11:59:59pm),64332,04
2017-12-05,600018,2017-12,Weekend,63793,05
2018-01-01,600018,2018-01,Weekday (12:00am-8:29:59am),16461,01
2018-01-02,600018,2018-01,Weekday (8:30am-2:59:59pm),116140,02
2018-01-03,600018,2018-01,Weekday (3:00pm-6:59:59pm),477229,03
2018-01-04,600018,2018-01,Weekday (7:00pm-11:59:59pm),48011,04
2018-01-05,600018,2018-01,Weekend,43475,05
2018-02-01,600018,2018-02,Weekday (12:00am-8:29:59am),16665,01
2018-02-02,600018,2018-02,Weekday (8:30am-2:59:59pm),125157,02
2018-02-03,600018,2018-02,Weekday (3:00pm-6:59:59pm),522710,03
2018-02-04,600018,2018-02,Weekday (7:00pm-11:59:59pm),53748,04
2018-02-05,600018,2018-02,Weekend,35095,05
2018-03-01,600018,2018-03,Weekday (12:00am-8:29:59am),18587,01
2018-03-02,600018,2018-03,Weekday (8:30am-2:59:59pm),141601,02
2018-03-03,600018,2018-03,Weekday (3:00pm-6:59:59pm),552959,03
2018-03-04,600018,2018-03,Weekday (7:00pm-11:59:59pm),65287,04
2018-03-05,600018,2018-03,Weekend,43185,05
2018-04-01,600018,2018-04,Weekday (12:00am-8:29:59am),16573,01
2018-04-02,600018,2018-04,Weekday (8:30am-2:59:59pm),123924,02
2018-04-03,600018,2018-04,Weekday (3:00pm-6:59:59pm),481466,03
2018-04-04,600018,2018-04,Weekday (7:00pm-11:59:59pm),55488,04
2018-04-05,600018,2018-04,Weekend,52488,05
2018-05-01,600018,2018-05,Weekday (12:00am-8:29:59am),18304,01
2018-05-02,600018,2018-05,Weekday (8:30am-2:59:59pm),142881,02
2018-05-03,600018,2018-05,Weekday (3:00pm-6:59:59pm),585191,03
2018-05-04,600018,2018-05,Weekday (7:00pm-11:59:59pm),64878,04
2018-05-05,600018,2018-05,Weekend,37191,05
2018-06-01,600018,2018-06,Weekday (12:00am-8:29:59am),16919,01
2018-06-02,600018,2018-06,Weekday (8:30am-2:59:59pm),128502,02
2018-06-03,600018,2018-06,Weekday (3:00pm-6:59:59pm),535530,03
2018-06-04,600018,2018-06,Weekday (7:00pm-11:59:59pm),60681,04
2018-06-05,600018,2018-06,Weekend,56061,05
2018-07-01,600018,2018-07,Weekday (12:00am-8:29:59am),17824,01
2018-07-02,600018,2018-07,Weekday (8:30am-2:59:59pm),138607,02
2018-07-03,600018,2018-07,Weekday (3:00pm-6:59:59pm),560855,03
2018-07-04,600018,2018-07,Weekday (7:00pm-11:59:59pm),61333,04
2018-07-05,600018,2018-07,Weekend,56122,05
2018-08-01,600018,2018-08,Weekday (12:00am-8:29:59am),19512,01
2018-08-02,600018,2018-08,Weekday (8:30am-2:59:59pm),149781,02
2018-08-03,600018,2018-08,Weekday (3:00pm-6:59:59pm),580131,03
2018-08-04,600018,2018-08,Weekday (7:00pm-11:59:59pm),68665,04
2018-08-05,600018,2018-08,Weekend,54189,05
2018-09-01,600018,2018-09,Weekday (12:00am-8:29:59am),16919,01
2018-09-02,600018,2018-09,Weekday (8:30am-2:59:59pm),128533,02
2018-09-03,600018,2018-09,Weekday (3:00pm-6:59:59pm),509996,03
2018-09-04,600018,2018-09,Weekday (7:00pm-11:59:59pm),58487,04
2018-09-05,600018,2018-09,Weekend,62480,05
2018-10-01,600018,2018-10,Weekday (12:00am-8:29:59am),18978,01
2018-10-02,600018,2018-10,Weekday (8:30am-2:59:59pm),142726,02
2018-10-03,600018,2018-10,Weekday (3:00pm-6:59:59pm),573509,03
2018-10-04,600018,2018-10,Weekday (7:00pm-11:59:59pm),62098,04
2018-10-05,600018,2018-10,Weekend,48888,05
2018-11-01,600018,2018-11,Weekday (12:00am-8:29:59am),19665,01
2018-11-02,600018,2018-11,Weekday (8:30am-2:59:59pm),139184,02
2018-11-03,600018,2018-11,Weekday (3:00pm-6:59:59pm),564768,03
2018-11-04,600018,2018-11,Weekday (7:00pm-11:59:59pm),66972,04
2018-11-05,600018,2018-11,Weekend,51883,05
2018-12-01,600018,2018-12,Weekday (12:00am-8:29:59am),14827,01
2018-12-02,600018,2018-12,Weekday (8:30am-2:59:59pm),113815,02
2018-12-03,600018,2018-12,Weekday (3:00pm-6:59:59pm),385490,03
2018-12-04,600018,2018-12,Weekday (7:00pm-11:59:59pm),59885,04
2018-12-05,600018,2018-12,Weekend,51176,05
2019-01-01,600018,2019-01,Weekday (12:00am-8:29:59am),16853,01
2019-01-02,600018,2019-01,Weekday (8:30am-2:59:59pm),118653,02
2019-01-03,600018,2019-01,Weekday (3:00pm-6:59:59pm),501530,03
2019-01-04,600018,2019-01,Weekday (7:00pm-11:59:59pm),49492,04
2019-01-05,600018,2019-01,Weekend,44573,05
2019-02-01,600018,2019-02,Weekday (12:00am-8:29:59am),17722,01
2019-02-02,600018,2019-02,Weekday (8:30am-2:59:59pm),126868,02
2019-02-03,600018,2019-02,Weekday (3:00pm-6:59:59pm),542648,03
2019-02-04,600018,2019-02,Weekday (7:00pm-11:59:59pm),55016,04
2019-02-05,600018,2019-02,Weekend,34370,05
2019-03-01,600018,2019-03,Weekday (12:00am-8:29:59am),18554,01
2019-03-02,600018,2019-03,Weekday (8:30am-2:59:59pm),141887,02
2019-03-03,600018,2019-03,Weekday (3:00pm-6:59:59pm),580620,03
2019-03-04,600018,2019-03,Weekday (7:00pm-11:59:59pm),64956,04
2019-03-05,600018,2019-03,Weekend,62459,05
2019-04-01,600018,2019-04,Weekday (12:00am-8:29:59am),17840,01
2019-04-02,600018,2019-04,Weekday (8:30am-2:59:59pm),136662,02
2019-04-03,600018,2019-04,Weekday (3:00pm-6:59:59pm),506870,03
2019-04-04,600018,2019-04,Weekday (7:00pm-11:59:59pm),57101,04
2019-04-05,600018,2019-04,Weekend,48058,05
2019-05-01,600018,2019-05,Weekday (12:00am-8:29:59am),19145,01
2019-05-02,600018,2019-05,Weekday (8:30am-2:59:59pm),149200,02
